language,naive_proportion,acc_corrected_proportion,wiki_soft_estimate,wiki_hard_estimate,tpr,fpr,best_model
English,0.059717510809887464,0.6336399271138166,0.5723174620578524,0.48938622117177294,0.9995440556252138,2.738525577828897e-05,random_forest
French,0.11423835952031697,0.626449501436849,0.5667590656130436,0.49234558863198524,0.9999105332219969,0.0,random_forest
